ABJ,Abidžan,Abidjan
ACA,Akapulko,Acapulco
ALA,Alma Ata,Almaty
APF,Napulj,Naples
ATH,Atina,Athens
AUH,Abu Dabi,Abu Dhabi
AZA,Feniks,Phoenix
BAH,Bahrain,Al Muharraq
BCN,Barselona,Barcelona
BEG,Beograd,Belgrade
BEY,Bejrut,Beirut
BHM,Birmingem,Birmingham
BJS,Peking,Beijing
BLA,Barselona,Barcelona
BLQ,Bolonja,Bologna
BLR,Bangalore,Bengaluru
BOJ,Burgas,Bourgas
BOM,Bombaj,Mumbai
BRU,Brisel,Brussels
BSB,Brazilija ,Brasilia
BSL,Bazel,Basel
BUD,Budimpešta,Budapest
BUH,Bukurešt,Bucharest
CAI,Kairo,Cairo
CBR,Kanbera,Canberra
CGN,Keln,Cologne
CHI,Čikago,Chicago
CLE,Klivlend,Cleveland
CLT,Šarlot,Charlotte
CMB,Kolombo,Colombo
CPH,Kopenhagen,Copenhagen
CPT,Kejptaun,Cape Town
DAM,Damask,Damascus
DRS,Drezden,Dresden
DUB,Dablin,Dublin
DUS,Dizeldorf,Dusseldorf
ENF,Enontekio,Enonekio
EVN,Jerevan,Yerevan
FLR,Firenca,Florence
FYU,Fort Yukon,Ft Yukon
GLA,Glazgov,Glasgow
GOA,Đenova,Genoa
GOT,Geteborg,Gothenburg
GVA,Ženeva,Geneva
HAV,Havana,La Habana
HKT,Puket,Phuket
HRK,Harkov ,Kharkov
IEV,Kijev,Kiev
JNB,Johanesburg ,Johannesburg
JRO,Kilimandžaro,Kilimanjaro
KCZ,Kočin,Kochi
KHI,Karači,Karachi
KHX,Kihiki,Kihihi
KIV,Kišinjev,Chisinau
KTM,Katmandu,Kathmandu
LAX,Los Anđeles,Los Angeles
LCA,Larnaka,Larnaca
LCG,La Korunja,La Coruna
LED,Sankt Peterburg ,St Petersburg
LEJ,Lajpcig,Leipzig
LIS,Lisabon,Lisbon
LYS,Lion,Lyon
MEL,Melburn,Melbourne
MGB,Mount Gambier,Mt Gambier
MIA,Majami,Miami
MIL,Milano,Milan
MLB,Melburn,Melbourne
MRS,Marsej,Marseille
MSP,Mineapolis,Minneapolis
MUC,Minhen,Munich
NAP,Napulj,Naples
NKG,Nanking,Nanjing
NYC,Njujork,New York
PAR,Pariz,Paris
PER,Pert,Perth
PHL,Filadelfija,Philadelphia
PMI,Palma de Majorka,Palma Mallorca
PMO,Palermo,Palermo
PRG,Prag,Prague
SDY,Sidnej,Sidney
SEA,Sijetl,Seattle
SGU,Saint George,St George
SKG,Solun,Thessaloniki
SKP,Skoplje,Skopje
SOF,Sofija,Sofia
STO,Stokholm,Stockholm
STR,Štutgart,Stuttgart
SZG,Salcburg,Salzburg
TSR,Temišvar,Timisoara
TYO,Tokio,Tokyo
VCE,Venecija,Venice
VIE,Beč,Vienna
YVR,Vankuver,Vancouver
ZRH,Cirih,Zurich
ZVJ,Abu Dabi,Abu Dhabi